,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,WP_000978094.1,WP_200785710.1,44.149,376,189,5,7,364,4,376,3.1400000000000004e-110,332.0,65.43,28220,Brachymonas denitrificans
1,WP_000978094.1,WP_162241819.1,37.288,354,199,7,18,367,4,338,4.5199999999999995e-68,223.0,55.08,1736316,Pseudorhodoferax sp. Leaf267
2,WP_000978094.1,WP_081682265.1,42.623,305,158,7,85,379,62,359,1.09e-66,219.0,58.36,433924,Pseudacidovorax intermedius
3,WP_000978094.1,WP_123299537.1,36.119,371,213,10,19,374,22,383,1.48e-65,217.0,56.33,2485130,Comamonas sp. BIGb0124
4,WP_000978094.1,WP_058640426.1,41.776,304,162,5,85,379,101,398,2.14e-65,217.0,57.89,433924,Pseudacidovorax intermedius
5,WP_000978094.1,WP_076509845.1,36.649,382,220,9,12,379,1,374,3.63e-65,216.0,53.4,1907403,Pseudacidovorax sp. RU35E
6,WP_000978094.1,WP_200786946.1,39.506,324,181,4,52,366,62,379,3.5800000000000004e-64,214.0,55.56,2795217,Ramlibacter sp. CrO1
7,WP_000978094.1,WP_022775529.1,36.646,322,192,5,54,371,78,391,3.7900000000000005e-64,214.0,56.83,1436290,Candidatus Symbiobacter mobilis
8,WP_000978094.1,WP_086924587.1,34.783,368,221,7,3,362,5,361,5.19e-63,210.0,52.99,1851577,Variovorax sp. JS1663
9,WP_000978094.1,WP_068641215.1,37.772,368,206,9,11,365,16,373,1.25e-62,209.0,54.62,376815,Variovorax soli
10,WP_000978094.1,WP_201693339.1,38.211,369,204,9,14,366,17,377,2.84e-62,209.0,54.2,2039631,Ramlibacter alkalitolerans
11,WP_000978094.1,WP_135283093.1,38.07,373,195,12,12,362,36,394,4.85e-62,209.0,53.89,1781167,Ramlibacter rhizophilus
12,WP_000978094.1,WP_132750994.1,37.435,382,209,10,9,373,33,401,7.38e-62,208.0,52.62,2512132,Variovorax sp. BK151
13,WP_000978094.1,WP_020722949.1,37.435,382,209,10,9,373,33,401,9.329999999999999e-62,208.0,52.62,34072,Variovorax
14,WP_000978094.1,WP_082755158.1,38.369,331,180,9,55,372,37,356,1.02e-61,206.0,58.01,1795631,Variovorax sp. PAMC 28711
15,WP_000978094.1,WP_126181795.1,37.435,382,209,10,9,373,33,401,1.07e-61,207.0,52.62,1705714,Variovorax sp. 369
16,WP_000978094.1,WP_041376754.1,34.236,406,227,10,1,376,13,408,1.48e-61,207.0,52.46,216465,Polaromonas naphthalenivorans
17,WP_000978094.1,WP_204580057.1,40.134,299,163,4,85,374,93,384,3.4999999999999996e-61,206.0,57.19,1783360,Comamonas sediminis
18,WP_000978094.1,WP_188471057.1,39.373,287,158,7,85,362,95,374,3.84e-61,206.0,61.67,1211803,Comamonas phosphati
19,WP_000978094.1,WP_108330370.1,35.0,380,213,9,6,362,1,369,1.6599999999999998e-60,204.0,52.89,1100699,Limnohabitans sp. 2KL-1
20,WP_000978094.1,WP_196996185.1,35.922,309,190,3,55,362,67,368,2.29e-60,204.0,56.31,2792224,Diaphorobacter sp. JS3051
21,WP_000978094.1,WP_135264625.1,36.605,377,204,9,12,366,17,380,2.81e-60,203.0,54.91,204072,Ramlibacter henchirensis
22,WP_000978094.1,WP_038208256.1,35.15,367,207,8,11,362,13,363,7.27e-60,202.0,52.59,151755,Xenophilus azovorans
23,WP_000978094.1,WP_105731099.1,37.16,331,193,6,52,374,73,396,1.3200000000000001e-59,202.0,55.29,86180,Malikia spinosa
24,WP_000978094.1,WP_169419960.1,37.265,373,200,11,11,362,2,361,1.34e-59,201.0,53.35,2728837,Ramlibacter sp. G-1-2-2
25,WP_000978094.1,WP_125965144.1,35.279,377,220,8,12,373,1,368,1.45e-59,201.0,53.05,2496117,Variovorax beijingensis
26,WP_000978094.1,WP_161125684.1,36.795,337,192,6,52,374,73,402,1.9000000000000001e-59,202.0,54.6,86180,Malikia spinosa
27,WP_000978094.1,WP_018902939.1,35.714,378,217,10,12,373,1,368,2.44e-59,201.0,54.23,34073,Variovorax paradoxus
28,WP_000978094.1,WP_101491302.1,39.672,305,163,8,84,378,61,354,2.62e-59,200.0,59.34,2066034,Variovorax sp. RO1
29,WP_000978094.1,WP_192196917.1,41.522,289,152,7,84,362,61,342,4.42e-59,199.0,59.86,2774875,Variovorax sp. 38R
30,WP_000978094.1,WP_159274080.1,41.297,293,155,7,84,366,61,346,4.52e-59,199.0,59.04,436515,Variovorax boronicumulans
31,WP_000978094.1,WP_105748348.1,36.31,336,194,5,52,374,73,401,5.26e-59,201.0,54.46,263067,Malikia granosa
32,WP_000978094.1,WP_126019700.1,36.148,379,218,11,9,373,33,401,5.48e-59,201.0,53.03,1775474,Variovorax guangxiensis
33,WP_000978094.1,WP_157397742.1,36.413,368,199,9,17,362,22,376,6.0700000000000005e-59,200.0,53.8,2617605,unclassified Ramlibacter
34,WP_000978094.1,WP_139701061.1,41.869,289,151,7,84,362,61,342,6.220000000000001e-59,199.0,59.52,2578111,Variovorax sp. KBS0712
35,WP_000978094.1,WP_153285809.1,41.176,289,153,7,84,362,61,342,6.35e-59,199.0,59.86,34073,Variovorax paradoxus
36,WP_000978094.1,WP_200934336.1,38.796,299,168,5,84,373,61,353,6.490000000000001e-59,199.0,58.19,1736513,Variovorax sp. Root318D1
37,WP_000978094.1,WP_206173312.1,37.536,349,202,6,36,373,60,403,6.86e-59,200.0,53.01,2681552,Variovorax sp. RKNM96
38,WP_000978094.1,WP_062362012.1,35.809,377,216,11,12,372,1,367,8.41e-59,199.0,53.85,34073,Variovorax paradoxus
39,WP_000978094.1,WP_201177338.1,36.898,374,200,10,11,362,1,360,1.13e-58,199.0,53.74,502333,Ramlibacter ginsenosidimutans
40,WP_000978094.1,WP_132733061.1,36.096,374,202,12,12,365,1,357,1.17e-58,199.0,52.67,2135732,Variovorax sp. BT01
41,WP_000978094.1,WP_019657990.1,38.318,321,183,7,54,362,60,377,1.2e-58,199.0,55.76,34072,Variovorax
42,WP_000978094.1,WP_055896712.1,36.585,369,199,9,20,366,25,380,1.27e-58,199.0,54.2,1736365,Ramlibacter sp. Leaf400
43,WP_000978094.1,WP_082548500.1,41.522,289,152,7,84,362,61,342,1.33e-58,198.0,59.52,1736541,Variovorax sp. Root473
44,WP_000978094.1,WP_184637973.1,38.138,333,191,6,51,373,74,401,1.44e-58,199.0,54.05,1775474,Variovorax guangxiensis
45,WP_000978094.1,WP_087745768.1,35.389,373,213,10,19,372,50,413,2.18e-58,199.0,52.82,2684926,unclassified Acidovorax
46,WP_000978094.1,WP_051616105.1,36.247,389,218,11,8,377,15,392,2.4300000000000003e-58,199.0,52.19,1305734,Polaromonas sp. EUR3 1.2.1
47,WP_000978094.1,WP_119554309.1,41.176,289,153,7,84,362,61,342,2.8e-58,197.0,59.17,1675792,Acidovorax cavernicola
48,WP_000978094.1,WP_208856315.1,38.614,303,171,4,84,377,61,357,5.1400000000000005e-58,197.0,56.44,34073,Variovorax paradoxus
49,WP_000978094.1,WP_099795323.1,39.344,305,164,8,84,378,61,354,9.64e-58,196.0,58.69,2035212,Variovorax sp. 54
50,WP_000978094.1,WP_162576929.1,33.516,364,223,5,11,362,9,365,1.05e-57,196.0,50.27,434009,Variovorax sp. PBL-H6
51,WP_000978094.1,WP_082818073.1,41.176,289,153,7,84,362,61,342,1.33e-57,196.0,59.17,436515,Variovorax boronicumulans
52,WP_000978094.1,WP_083259064.1,41.176,289,153,7,84,362,61,342,1.4e-57,196.0,59.17,436515,Variovorax boronicumulans
53,WP_000978094.1,WP_158724287.1,34.711,363,210,7,17,362,17,369,1.6e-57,196.0,52.07,1747220,Xenophilus sp. L33
54,WP_000978094.1,WP_145743070.1,34.656,378,219,10,12,372,1,367,1.99e-57,196.0,53.17,34072,Variovorax
55,WP_000978094.1,WP_209535483.1,34.656,378,219,10,12,372,1,367,1.99e-57,196.0,53.17,2806581,Variovorax sp. 2002
56,WP_000978094.1,WP_049965788.1,39.803,304,162,8,84,377,61,353,2.56e-57,195.0,59.21,1144315,Variovorax sp. CF313
57,WP_000978094.1,WP_192322748.1,34.656,378,219,10,12,372,1,367,2.83e-57,195.0,53.17,2769259,Variovorax sp. VRV01
58,WP_000978094.1,WP_084523033.1,38.562,306,162,7,85,378,98,389,2.99e-57,196.0,55.88,198706,Lampropedia hyalina
59,WP_000978094.1,WP_093195186.1,37.237,333,194,6,51,373,74,401,3.45e-57,196.0,53.15,1884384,Variovorax sp. YR750
60,WP_000978094.1,WP_176664050.1,37.237,333,194,6,51,373,75,402,3.54e-57,196.0,53.15,2587117,Variovorax sp. SG517
61,WP_000978094.1,WP_093011726.1,37.349,332,191,7,52,373,29,353,3.77e-57,194.0,56.02,1882826,Variovorax sp. OV700
62,WP_000978094.1,WP_081781321.1,34.853,373,208,11,11,362,30,388,3.85e-57,196.0,55.5,1380385,Variovorax sp. URHB0020
63,WP_000978094.1,WP_126468650.1,37.237,333,194,6,51,373,74,401,3.92e-57,196.0,53.15,1679495,Variovorax gossypii
64,WP_000978094.1,WP_176657158.1,35.598,368,209,8,21,373,49,403,3.96e-57,196.0,50.27,2587118,Variovorax sp. SG533
65,WP_000978094.1,WP_157612557.1,39.373,287,158,4,85,362,93,372,4.0600000000000004e-57,195.0,56.45,34073,Variovorax paradoxus
66,WP_000978094.1,WP_124465375.1,36.31,336,191,6,52,373,75,401,6.330000000000001e-57,195.0,52.98,2153358,Variovorax sp. KBW07
67,WP_000978094.1,WP_056511742.1,39.474,304,163,8,84,377,61,353,6.39e-57,194.0,59.21,1736530,Variovorax sp. Root411
68,WP_000978094.1,WP_095747454.1,38.158,304,168,7,84,377,61,354,6.460000000000001e-57,194.0,57.89,436515,Variovorax boronicumulans
69,WP_000978094.1,WP_056587730.1,39.803,304,162,8,84,377,61,353,7.740000000000001e-57,194.0,59.21,1736536,Variovorax sp. Root434
70,WP_000978094.1,WP_086920903.1,34.447,389,229,10,2,374,1,379,8.7e-57,194.0,52.19,1851577,Variovorax sp. JS1663
71,WP_000978094.1,WP_162583146.1,32.692,364,227,5,11,362,9,366,9.03e-57,194.0,51.65,434008,Variovorax sp. PBS-H4
72,WP_000978094.1,WP_068684775.1,34.066,364,221,9,11,362,9,365,9.280000000000001e-57,194.0,53.02,663243,unclassified Variovorax
73,WP_000978094.1,WP_126745559.1,39.024,287,159,4,85,362,93,372,9.61e-57,194.0,56.1,2495592,Variovorax sp. DXTD-1
74,WP_000978094.1,WP_093058353.1,36.637,333,196,6,51,373,74,401,1.05e-56,194.0,53.15,1884385,Variovorax sp. YR634
75,WP_000978094.1,WP_084217329.1,40.138,289,156,7,84,362,60,341,1.1e-56,193.0,58.82,151755,Xenophilus azovorans
76,WP_000978094.1,WP_080666851.1,38.889,288,161,5,84,362,61,342,1.11e-56,193.0,58.68,34073,Variovorax paradoxus
77,WP_000978094.1,WP_080966560.1,38.889,288,161,5,84,362,61,342,1.12e-56,193.0,58.68,34073,Variovorax paradoxus
78,WP_000978094.1,WP_093173705.1,36.637,333,196,6,51,373,74,401,1.12e-56,194.0,53.15,1884386,Variovorax sp. YR266
79,WP_000978094.1,WP_106934507.1,36.036,333,198,6,51,373,60,387,1.26e-56,194.0,53.75,663243,unclassified Variovorax
80,WP_000978094.1,WP_116912167.1,39.474,304,163,8,84,377,60,352,1.34e-56,193.0,59.21,663243,unclassified Variovorax
81,WP_000978094.1,WP_093074418.1,36.637,333,196,6,51,373,74,401,1.39e-56,194.0,53.15,1882777,Variovorax sp. OV084
82,WP_000978094.1,WP_125950953.1,36.842,342,198,7,42,373,69,402,1.6300000000000002e-56,194.0,53.22,663243,unclassified Variovorax
83,WP_000978094.1,WP_124957397.1,40.07,287,156,4,85,362,93,372,1.71e-56,194.0,56.45,2496117,Variovorax beijingensis
84,WP_000978094.1,WP_209544790.1,39.527,296,160,9,84,368,61,348,1.7500000000000001e-56,192.0,59.12,2806576,Variovorax sp. 1615
85,WP_000978094.1,WP_097199309.1,37.919,298,172,4,85,373,108,401,1.95e-56,194.0,54.7,1884383,Variovorax sp. YR752
86,WP_000978094.1,WP_081268281.1,35.736,333,199,6,51,373,60,387,1.97e-56,194.0,53.75,34073,Variovorax paradoxus
